ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
170,24d09m43.4s,15d46m58.5s,40,33,38,0,2,6,1.96,24.162055555555554,15.782916666666667
171,24d09m43.5s,15d46m3.8s,28,27,27,-90,4,16,3.36,24.16208333333333,15.767722222222224
172,24d09m44.4s,15d46m54.0s,24,19,23,0,2,13,1.94,24.162333333333333,15.781666666666668
173,24d09m44.5s,15d48m35.5s,78,75,77,0,3,-95,4.89,24.16236111111111,15.809861111111111
174,24d09m44.5s,15d46m9.3s,24,22,23,-90,4,-30,3.12,24.16236111111111,15.769250000000001
175,24d09m45.1s,15d47m45.5s,28,26,28,0,2,32,2.83,24.162527777777775,15.795972222222222
176,24d09m45.2s,15d46m12.6s,20,19,19,-90,4,-60,2.98,24.162555555555553,15.770166666666668
177,24d09m45.2s,15d47m1.1s,34,33,33,-90,2,-13,1.87,24.162555555555553,15.78363888888889
178,24d09m45.3s,15d46m11.3s,22,21,22,-90,4,-49,3.02,24.16258333333333,15.769805555555557
179,24d09m45.4s,15d46m57.8s,60,59,60,-90,2,-7,1.87,24.162611111111108,15.782722222222223
180,24d09m45.5s,15d46m4.5s,53,33,46,0,4,6,3.28,24.16263888888889,15.767916666666668
181,24d09m45.5s,15d47m56.3s,16,16,16,0,2,96,3.22,24.16263888888889,15.798972222222222
182,24d09m45.7s,15d47m48.0s,26,26,26,0,2,42,2.9,24.162694444444444,15.796666666666667
183,24d09m45.9s,15d47m56.4s,42,42,42,0,2,94,3.21,24.16275,15.799
184,24d09m46.0s,15d47m22.9s,35,33,34,-90,2,-46,2.11,24.162777777777777,15.789694444444445
185,24d09m46.0s,15d45m58.4s,20,18,19,-90,4,55,3.51,24.162777777777777,15.766222222222222
186,24d09m46.0s,15d46m59.7s,39,37,38,0,2,-18,1.83,24.162777777777777,15.78325
187,24d09m46.1s,15d47m48.6s,23,21,22,0,2,44,2.91,24.162805555555554,15.796833333333334
188,24d09m46.3s,15d46m10.7s,18,18,18,0,4,-47,3.02,24.16286111111111,15.76963888888889
189,24d09m46.3s,15d47m50.9s,44,42,43,-90,2,56,2.99,24.16286111111111,15.797472222222222
190,24d09m46.5s,15d47m47.8s,23,18,21,0,2,36,2.87,24.162916666666664,15.796611111111112
191,24d09m46.5s,15d46m12.3s,19,17,18,0,4,-61,2.95,24.162916666666664,15.770083333333334
192,24d09m46.6s,15d47m49.4s,23,23,23,0,2,45,2.93,24.16294444444444,15.797055555555556
193,24d09m46.6s,15d46m17.1s,26,26,26,0,4,-103,2.77,24.16294444444444,15.771416666666667
194,24d09m46.8s,15d45m56.8s,34,30,33,0,4,69,3.56,24.163,15.765777777777778
195,24d09m47.1s,15d45m46.1s,27,27,27,0,4,162,4.0,24.163083333333333,15.762805555555556
196,24d09m47.2s,15d47m30.5s,28,26,28,0,2,-36,2.26,24.16311111111111,15.791805555555555
197,24d09m47.2s,15d46m56.9s,89,82,87,-90,2,-18,1.79,24.16311111111111,15.782472222222223
198,24d09m47.3s,15d47m49.2s,25,23,24,0,2,39,2.9,24.163138888888888,15.797
199,24d09m47.7s,15d45m59.7s,48,41,46,0,4,43,3.42,24.163249999999998,15.766583333333333
200,24d09m47.7s,15d47m42.2s,91,91,91,0,2,-2,2.63,24.163249999999998,15.795055555555555
201,24d09m48.4s,15d46m3.5s,69,46,61,0,4,8,3.24,24.163444444444444,15.76763888888889
202,24d09m48.5s,15d45m57.3s,44,41,43,0,4,61,3.49,24.16347222222222,15.765916666666667
203,24d09m48.8s,15d48m39.5s,32,20,28,60,3,-94,4.99,24.163555555555554,15.810972222222222
204,24d09m49.0s,15d47m57.2s,87,83,86,-90,2,80,3.17,24.16361111111111,15.799222222222221
205,24d09m49.8s,15d48m8.2s,364,338,356,-90,2,152,3.61,24.163833333333333,15.802277777777778
206,24d09m49.8s,15d46m39.0s,36,31,34,-90,2,47,1.96,24.163833333333333,15.777500000000002
207,24d09m49.9s,15d46m48.7s,38,36,37,0,2,-5,1.76,24.16386111111111,15.780194444444446
208,24d09m50.3s,15d46m16.4s,27,23,25,0,4,-107,2.69,24.16397222222222,15.771222222222223
209,24d09m50.3s,15d45m55.0s,24,20,23,0,4,78,3.55,24.16397222222222,15.765277777777778
210,24d09m50.4s,15d45m42.5s,28,27,28,0,4,189,4.09,24.163999999999998,15.761805555555556
211,24d09m50.5s,15d46m22.0s,44,40,43,0,2,155,2.47,24.164027777777775,15.772777777777778
212,24d09m50.5s,15d45m44.8s,58,57,57,-90,4,169,3.98,24.164027777777775,15.762444444444444
213,24d09m51.0s,15d46m0.9s,73,65,71,0,4,25,3.29,24.164166666666667,15.766916666666667
214,24d09m51.1s,15d46m51.1s,16,16,16,0,2,-24,1.67,24.164194444444444,15.780861111111111
215,24d09m51.1s,15d47m44.3s,30,23,27,0,2,-14,2.6,24.164194444444444,15.795638888888888
216,24d09m51.4s,15d46m23.2s,17,16,17,0,2,142,2.4,24.164277777777777,15.773111111111112
217,24d09m51.4s,15d45m42.4s,28,28,28,0,4,189,4.08,24.164277777777777,15.761777777777779
218,24d09m51.6s,15d47m52.6s,28,26,28,-90,2,35,2.92,24.16433333333333,15.797944444444445
219,24d09m51.7s,15d46m14.0s,29,27,28,0,4,-87,2.74,24.16436111111111,15.770555555555557
220,24d09m52.1s,15d46m23.6s,24,23,24,0,2,136,2.37,24.16447222222222,15.773222222222223
221,24d09m52.1s,15d48m16.8s,69,49,62,0,2,207,3.93,24.16447222222222,15.804666666666668
222,24d09m52.2s,15d47m50.4s,46,37,43,-90,2,17,2.81,24.1645,15.797333333333333
223,24d09m52.2s,15d46m39.5s,44,39,43,0,2,29,1.86,24.1645,15.77763888888889
224,24d09m52.5s,15d46m57.9s,28,25,27,0,2,-62,1.54,24.164583333333333,15.78275
225,24d09m52.6s,15d47m52.1s,25,24,25,0,2,26,2.88,24.16461111111111,15.797805555555556
226,24d09m53.0s,15d46m4.2s,28,24,27,0,4,-5,3.11,24.16472222222222,15.767833333333334
227,24d09m53.0s,15d45m37.0s,43,41,43,-90,4,234,4.29,24.16472222222222,15.760277777777778
228,24d09m53.0s,15d46m12.9s,24,22,23,0,4,-79,2.75,24.16472222222222,15.77025
